id,title,class,content
AAAAAAAASh4,【蝦皮購物】折扣碼/優惠券/折價券/coupon 9/25更新,1.折價券/蝦皮購物/A.購物/,蝦皮購物\ ➝\ 購物車➝輸入折扣代碼\ 精選文章\ 
AAAAAAAAShw,【蝦皮購物】折扣碼/優惠券/折價券/coupon 9/25更新,1.折價券/蝦皮購物/A.購物/,蝦皮購物\ ➝\ 購物車➝輸入折扣代碼\ 精選文章\ 
AAAAAAAATNE,【肯德基】19279,肯德基/A.美食/,精選文章\ 
AAAAAAAATNE,【肯德基】19279,肯德基/A.美食/,精選文章\ 
AAAAAAAATMo,【肯德基】神魔之塔素材序號兌換,肯德基/A.美食/,肯德基x神魔之塔最新合作，於活動網址登入神魔之塔，即可領取5星咔啦雞腿堡素材卡。(如果沒要使用別從獎賞領出來，不能放進素材背包，會占5格背包空間)\ 精選文章\ 
AAAAAAAATM0,【肯德基】神魔之塔素材序號兌換,肯德基/A.美食/,肯德基x神魔之塔最新合作，於活動網址登入神魔之塔，即可領取5星咔啦雞腿堡素材卡。(如果沒要使用別從獎賞領出來，不能放進素材背包，會占5格背包空間)\ 精選文章\ 
AAAAAAAATMc,【統一發票】108年07-08月中獎號碼,統一發票/,特別獎 \ ４５６９８６２１\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 1000 萬元\ 特獎 \ １９６１４４３６\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 200 萬元\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 20 萬元\ 二獎 同期統一發票收執聯末 7 位數號碼與頭獎中獎號碼末 7 位相同者獎金 4 萬元\ 三獎 同期統一發票收執聯末 6 位數號碼與頭獎中獎號碼末 6 位相同者獎金 1 萬元\ 四獎 同期統一發票收執聯末 5 位數號碼與頭獎中獎號碼末 5 位相同者獎金 4 千元\ 五獎 同期統一發票收執聯末 4 位數號碼與頭獎中獎號碼末 4 位相同者獎金 1 千元\ 六獎 同期統一發票收執聯末 3 位數號碼與頭獎中獎號碼末 3 位相同者獎金 2 百元\ 精選文章\ 
AAAAAAAATMc,【統一發票】108年07-08月中獎號碼,統一發票/,特別獎 \ ４５６９８６２１\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 1000 萬元\ 特獎 \ １９６１４４３６\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 200 萬元\ 同期統一發票收執聯 8 位數號碼與上列號碼相同者獎金 20 萬元\ 二獎 同期統一發票收執聯末 7 位數號碼與頭獎中獎號碼末 7 位相同者獎金 4 萬元\ 三獎 同期統一發票收執聯末 6 位數號碼與頭獎中獎號碼末 6 位相同者獎金 1 萬元\ 四獎 同期統一發票收執聯末 5 位數號碼與頭獎中獎號碼末 5 位相同者獎金 4 千元\ 五獎 同期統一發票收執聯末 4 位數號碼與頭獎中獎號碼末 4 位相同者獎金 1 千元\ 六獎 同期統一發票收執聯末 3 位數號碼與頭獎中獎號碼末 3 位相同者獎金 2 百元\ 精選文章\ 
AAAAAAAAR58,【肯德基】隱藏版優惠代號/折價券/優惠券/coupon 9/25更新,1.折價券/肯德基/A.美食/,☉這是肯德基KFC隱藏版優惠代號，於網路訂餐或電話報優惠代號即可使用。\ ☉部分代號網路訂餐無法訂購，需打電話訂購:4128000，手機撥打+02\ ☉編號開頭為4者，只適用於預訂快取。\ ☉\ 編號開\ 頭為5者則再加開放外送訂餐。\ ☉\ 以優惠券上注意事項為主。\ 肯德基\ ➝優惠券➝輸入優惠代碼\ 精選文章\ 
AAAAAAAAR5w,【肯德基】隱藏版優惠代號/折價券/優惠券/coupon 9/25更新,1.折價券/肯德基/A.美食/,☉這是肯德基KFC隱藏版優惠代號，於網路訂餐或電話報優惠代號即可使用。\ ☉部分代號網路訂餐無法訂購，需打電話訂購:4128000，手機撥打+02\ ☉編號開頭為4者，只適用於預訂快取。\ ☉\ 編號開\ 頭為5者則再加開放外送訂餐。\ ☉\ 以優惠券上注意事項為主。\ 肯德基\ ➝優惠券➝輸入優惠代碼\ 精選文章\ 
AAAAAAAAR0A,【肯德基】隱藏版優惠代號/折價券/優惠券/coupon 9/25更新,1.折價券/肯德基/A.美食/,☉這是肯德基KFC隱藏版優惠代號，於網路訂餐或電話報優惠代號即可使用。\ ☉部分代號網路訂餐無法訂購，需打電話訂購:4128000，手機撥打+02\ ☉編號開頭為4者，只適用於預訂快取。\ ☉\ 編號開\ 頭為5者則再加開放外送訂餐。\ ☉\ 以優惠券上注意事項為主。\ 肯德基\ ➝優惠券➝輸入優惠代碼\ 精選文章\ 
AAAAAAAASo0,【肯德基】隱藏版優惠代號/折價券/優惠券/coupon 9/25更新,1.折價券/肯德基/A.美食/,☉這是肯德基KFC隱藏版優惠代號，於網路訂餐或電話報優惠代號即可使用。\ ☉部分代號網路訂餐無法訂購，需打電話訂購:4128000，手機撥打+02\ ☉編號開頭為4者，只適用於預訂快取。\ ☉\ 編號開\ 頭為5者則再加開放外送訂餐。\ ☉\ 以優惠券上注意事項為主。\ 肯德基\ ➝優惠券➝輸入優惠代碼\ 精選文章\ 
AAAAAAAASpE,【肯德基】隱藏版優惠代號/折價券/優惠券/coupon 9/25更新,1.折價券/肯德基/A.美食/,☉這是肯德基KFC隱藏版優惠代號，於網路訂餐或電話報優惠代號即可使用。\ ☉部分代號網路訂餐無法訂購，需打電話訂購:4128000，手機撥打+02\ ☉編號開頭為4者，只適用於預訂快取。\ ☉\ 編號開\ 頭為5者則再加開放外送訂餐。\ ☉\ 以優惠券上注意事項為主。\ 肯德基\ ➝優惠券➝輸入優惠代碼\ 精選文章\ 
